,Name,Gender,Birthdate,Genres
247,Chris Columbus,Male,1958-09-10,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Adventure', 'Drama', 'Action', 'Science Fiction']"
248,Whit Stillman,Male,1952-01-25,"['Drama', 'Comedy', 'Romance']"
249,Danny Cannon,Male,1968-01-01,"['Horror', 'Mystery', 'Thriller', 'Science Fiction']"
250,Tamara Jenkins,Female,1962-05-02,"['Drama', 'Comedy']"
251,Hideaki Anno,Male,1960-05-22,"['Romance', 'Horror', 'Drama', 'Action', 'Animation', 'Science Fiction']"
252,Deborah Kaplan,Female,1970-11-11,"['Music', 'Comedy', 'Romance']"
253,Harry Elfont,Male,1968-04-05,"['Music', 'Comedy', 'Romance']"
254,Hype Williams,Male,,"['Crime', 'Drama']"
255,George Miller,Male,1945-03-03,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Horror', 'Adventure', 'Drama', 'Action', 'Animation', 'Thriller', 'Science Fiction']"
256,Troy Miller,Male,,"['Drama', 'Fantasy', 'Comedy', 'Family']"
257,Peter Howitt,Male,1957-05-05,"['Fantasy', 'Comedy', 'Romance', 'Adventure', 'Drama', 'Action']"
258,Michel Ocelot,Male,1943-10-27,"['Adventure', 'Fantasy', 'Animation', 'Family']"
259,Brad Silberling,Male,1963-09-08,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Adventure', 'Drama']"
260,F. Gary Gray,Male,1969-07-17,"['Comedy', 'Music', 'Crime', 'Drama', 'Action', 'Thriller', 'History', 'Science Fiction']"
261,Rob Bowman,Male,1960-05-15,"['Fantasy', 'Adventure', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
262,Alfonso Cuarón,Male,1961-11-28,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Adventure', 'Drama', 'Action', 'Thriller', 'Science Fiction']"
263,Tsai Ming-liang,Male,1957-10-27,"['Comedy', 'Romance', 'Crime', 'Drama', 'Science Fiction']"
264,John Fortenberry,Male,,"['Music', 'Comedy', 'Romance']"
265,Abel Ferrara,Male,1951-07-19,"['Horror', 'Crime', 'Drama', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
266,Gregory Hoblit,Male,1944-11-27,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Science Fiction']"
267,Norton Virgien,Male,,"['Adventure', 'Animation', 'Comedy', 'Family']"
268,Igor Kovalyov,Male,1954-01-17,"['Adventure', 'Animation', 'Comedy', 'Family']"
269,David Nutter,Male,,"['Horror', 'War', 'Drama', 'Mystery', 'Science Fiction']"
270,Bob Saget,Male,1956-05-17,['Comedy']
271,Tamra Davis,Female,1962-01-22,"['Crime', 'Comedy']"
272,David Fincher,Male,1962-08-28,"['Fantasy', 'Romance', 'Horror', 'Crime', 'Drama', 'Action', 'Mystery', 'Thriller', 'History', 'Science Fiction']"
273,Lilly Wachowski,Female,1967-12-29,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Drama', 'Action', 'Crime', 'Thriller', 'Science Fiction']"
274,Lana Wachowski,Female,1965-06-21,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Drama', 'Action', 'Crime', 'Thriller', 'Science Fiction']"
275,Gil Junger,Male,1954-11-07,"['Drama', 'Comedy', 'Romance']"
276,Sam Mendes,Male,1965-08-01,"['Romance', 'War', 'Adventure', 'Drama', 'Action', 'Crime', 'Thriller']"
277,George Lucas,Male,1944-05-14,"['Adventure', 'Action', 'Science Fiction']"
278,Stanley Kubrick,Male,1928-07-26,"['Horror', 'War', 'Drama', 'Mystery', 'Thriller']"
279,James Mangold,Male,1963-12-16,"['Fantasy', 'Comedy', 'Romance', 'Music', 'Adventure', 'Drama', 'Action', 'Mystery', 'Thriller', 'Crime', 'History', 'Western', 'Science Fiction']"
280,Sofia Coppola,Female,1971-05-14,"['Comedy', 'Romance', 'Crime', 'Drama', 'History']"
281,M. Night Shyamalan,Male,1970-08-06,"['Fantasy', 'Horror', 'Adventure', 'Drama', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
282,Frank Darabont,Male,1959-01-28,"['Fantasy', 'Horror', 'Crime', 'Drama', 'Thriller', 'Science Fiction']"
283,Roger Michell,Male,1956-06-05,"['Comedy', 'Romance']"
284,Paul Thomas Anderson,Male,1970-06-26,"['Comedy', 'Romance', 'Crime', 'Drama', 'Mystery']"
285,Daniel Myrick,Male,1962-11-30,"['Horror', 'Mystery']"
286,Eduardo Sánchez,Male,1968-12-20,"['Horror', 'Mystery']"
287,Spike Jonze,Male,1969-10-22,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Crime', 'Drama', 'Adventure', 'Science Fiction']"
288,Jamie Babbit,Female,1970-11-16,"['Comedy', 'Romance']"
289,Brad Bird,Male,1957-09-24,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Action', 'Mystery', 'Thriller', 'Animation', 'Science Fiction']"
290,Anthony Minghella,Male,1954-01-06,"['Fantasy', 'Comedy', 'Romance', 'War', 'Crime', 'Drama', 'Adventure', 'Thriller', 'History', 'TV Movie']"
291,Stephen Sommers,Male,1962-03-20,"['Adventure', 'Action', 'Fantasy', 'Horror']"
292,Kevin Lima,Male,,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Adventure', 'Drama', 'Animation']"
293,Chris Buck,Male,1958-02-24,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Drama', 'Animation']"
294,Takashi Miike,Male,1960-08-24,"['Comedy', 'Horror', 'Adventure', 'Drama', 'Action', 'Crime', 'Thriller']"
295,Chris Weitz,Male,1969-11-30,"['Fantasy', 'Comedy', 'Romance', 'Adventure', 'Drama']"
296,Paul Weitz,Male,1965-11-19,"['Drama', 'Comedy', 'Romance']"
297,Mike Judge,Male,1962-10-17,"['Adventure', 'Animation', 'Comedy', 'Science Fiction']"
298,Roger Kumble,Male,1966-05-28,"['Drama', 'Comedy', 'Romance']"
299,Alexander Payne,Male,1961-02-10,"['Comedy', 'Romance', 'Adventure', 'Drama', 'Mystery', 'Science Fiction']"
300,Robert Iscove,Male,1947-07-04,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Music', 'TV Movie']"
301,Rob Minkoff,Male,1962-08-11,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Drama', 'Mystery', 'Thriller', 'Animation']"
302,Jay Roach,Male,1957-06-14,"['Comedy', 'Romance', 'Crime', 'Adventure', 'Drama', 'Science Fiction']"
303,Dennis Dugan,Male,1946-09-05,"['Comedy', 'Family', 'Romance', 'Drama', 'Action']"
304,Trey Parker,Male,1969-10-19,"['Adventure', 'Action', 'Animation', 'Comedy']"
305,Dean Parisot,Male,1952-07-06,"['Adventure', 'Crime', 'Comedy', 'Science Fiction']"
306,Michael Mann,Male,1943-02-05,"['Fantasy', 'Romance', 'Horror', 'War', 'Crime', 'Drama', 'Action', 'Adventure', 'Thriller', 'History']"
307,Miloš Forman,Male,1932-02-18,"['Music', 'Drama', 'Comedy', 'History']"
308,Michael Patrick Jann,Male,1970-05-15,['Comedy']
309,Troy Duffy,Male,1971-06-08,"['Crime', 'Action', 'Thriller']"
310,Raja Gosnell,Male,1958-12-09,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Adventure', 'Drama', 'Crime', 'Mystery', 'Animation']"
311,Darren Stein,Male,1971-12-24,"['Horror', 'Crime', 'Comedy']"
312,Kevin Smith,Male,1970-08-02,"['Fantasy', 'Comedy', 'Romance', 'Horror', 'Adventure', 'Drama']"
313,Kimberly Peirce,Female,1967-09-08,"['Crime', 'Drama', 'Horror']"
314,Michael Apted,Male,1941-02-10,"['Fantasy', 'Family', 'Music', 'Adventure', 'Action', 'Drama', 'Thriller']"
315,Lynne Ramsay,Female,1969-12-05,"['Crime', 'Drama', 'Thriller']"
316,James Algar,Male,1912-06-11,"['Music', 'Animation', 'Family']"
317,Don Hahn,Male,1955-11-26,"['Music', 'Animation', 'Family']"
318,Gaëtan Brizzi,Male,1951-12-24,"['Music', 'Animation', 'Family']"
319,Paul Brizzi,Male,1951-12-24,"['Comedy', 'Family', 'Romance', 'Music', 'Adventure', 'Animation']"
320,Eric Goldberg,Male,1955-05-01,"['Family', 'Romance', 'Music', 'Adventure', 'Animation']"
321,Hendel Butoy,,,"['Fantasy', 'Family', 'Music', 'Adventure', 'Animation']"
322,Francis Glebas,,,"['Music', 'Animation', 'Family']"
323,Pixote Hunt,,,"['Music', 'Fantasy', 'Animation', 'Family']"
324,David O. Russell,Male,1958-08-20,"['Comedy', 'Romance', 'War', 'Crime', 'Action', 'Drama', 'Mystery', 'Thriller', 'History']"
325,Barry Sonnenfeld,Male,1953-04-01,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Action', 'Crime', 'Thriller', 'Western', 'Science Fiction']"
326,Joel Schumacher,Male,1939-08-29,"['Fantasy', 'Comedy', 'Romance', 'Horror', 'Crime', 'Drama', 'Action', 'Mystery', 'Thriller', 'Adventure', 'Science Fiction']"
327,Chris Smith,Male,1970-01-01,"['Comedy', 'Documentary']"
328,Antonia Bird,Female,1951-05-05,"['Adventure', 'Western', 'Comedy', 'Horror']"
329,Doug Liman,Male,1965-07-24,"['Comedy', 'Crime', 'Drama', 'Action', 'Mystery', 'Thriller', 'Adventure', 'Science Fiction']"
330,Harold Ramis,Male,1944-11-21,"['Fantasy', 'Comedy', 'Romance', 'Crime', 'Adventure', 'Drama']"
331,Luc Dardenne,Male,1954-03-10,['Drama']
332,Jean-Pierre Dardenne,Male,1951-04-21,['Drama']
333,Abbas Kiarostami,Male,1940-06-22,"['Crime', 'Drama', 'Family', 'Romance']"
334,Harmony Korine,Male,1973-01-04,"['Crime', 'Drama', 'Comedy']"
335,Rodman Flender,Male,1962-06-09,"['Horror', 'Fantasy', 'Comedy']"
336,Hiroyuki Okiura,Male,1966-10-13,"['Fantasy', 'Drama', 'Thriller', 'Animation', 'Science Fiction']"
337,Andrew Fleming,Male,1963-03-14,"['Horror', 'Drama', 'Fantasy', 'Comedy']"
338,Hugh Wilson,Male,1943-08-21,"['Crime', 'Drama', 'Comedy', 'Romance']"
339,Kinka Usher,Male,,"['Fantasy', 'Comedy', 'Adventure', 'Action', 'Science Fiction']"
340,Guel Arraes,Male,1953-12-12,"['Drama', 'Fantasy', 'Comedy']"
341,David Kellogg,Male,1952-01-01,"['Adventure', 'Action', 'Comedy', 'Family']"
342,Lee Chang-dong,Male,1954-04-01,"['Drama', 'Mystery', 'Thriller', 'Romance']"
343,Bradley Raymond,Male,1973-07-24,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Action', 'Animation']"
344,Jun Falkenstein,Female,1969-05-07,"['Animation', 'Family', 'Comedy']"
345,Toby Shelton,Male,,"['Comedy', 'Romance', 'Family', 'Adventure', 'Animation']"
346,Bill Speers,Male,,"['Animation', 'Family', 'Comedy']"
347,Alex Mann,,,"['Animation', 'Family', 'Comedy']"
348,John Schultz,Male,1963-05-12,"['Drama', 'Comedy', 'Romance']"
349,Jan de Bont,Male,1943-10-22,"['Fantasy', 'Horror', 'Adventure', 'Action', 'Crime', 'Mystery', 'Thriller', 'Drama']"
350,Justin Kerrigan,Male,1977-01-01,"['Drama', 'Comedy']"
351,Lasse Hallström,Male,1946-06-02,"['Comedy', 'Family', 'Romance', 'War', 'Drama']"
352,David Koepp,Male,1963-06-09,"['Horror', 'Mystery', 'Thriller']"
353,William Malone,Male,,['Horror']
354,Wim Wenders,Male,1945-08-14,"['Fantasy', 'Romance', 'Music', 'Adventure', 'Drama', 'Documentary', 'Science Fiction']"
355,Brian Helgeland,Male,1961-01-17,"['Romance', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
356,Peter Tscherkassky,Male,1958-10-03,['Horror']
357,Peter Hyams,Male,1943-07-26,"['Fantasy', 'Horror', 'Crime', 'Action', 'Thriller', 'Science Fiction']"
358,Mike Mitchell,Male,1970-10-18,"['Fantasy', 'Comedy', 'Family', 'Music', 'Adventure', 'Action', 'Animation']"
359,Julie Taymor,Female,1952-12-15,"['Drama', 'Fantasy', 'Romance', 'History']"
360,Tim Hill,Male,1958-05-31,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Drama', 'Animation', 'Science Fiction']"
361,Les Mayfield,Male,1959-11-30,"['Fantasy', 'Comedy', 'Family', 'Crime', 'Action', 'Drama', 'Science Fiction']"
362,Nicolas Winding Refn,Male,1970-09-29,"['Fantasy', 'Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
363,David Yates,Male,1963-10-08,"['Adventure', 'Fantasy']"
364,Glenn Ficarra,Male,1971-05-27,"['Crime', 'Drama', 'Comedy', 'Romance']"
365,John Requa,Male,1967-01-01,"['Crime', 'Drama', 'Comedy', 'Romance']"
366,Drew Goddard,Male,1975-02-26,"['Comedy', 'Horror', 'Crime', 'Drama', 'Mystery', 'Thriller']"
367,Bennett Miller,Male,1966-12-30,"['Crime', 'Drama', 'Thriller']"
368,Matthew Vaughn,Male,1971-03-07,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Adventure', 'Action', 'Crime', 'Drama', 'Thriller', 'Science Fiction']"
369,Gore Verbinski,Male,1964-03-16,"['Fantasy', 'Comedy', 'Family', 'Horror', 'Adventure', 'Action', 'Mystery', 'Animation', 'Western', 'Science Fiction']"
370,Éric Toledano,Male,1971-07-03,"['Drama', 'Comedy']"
371,Olivier Nakache,Male,1973-04-15,"['Drama', 'Comedy']"
372,Rupert Wyatt,Male,1972-10-26,"['Drama', 'Action', 'Thriller', 'Science Fiction']"
373,Paul Feig,Male,1962-09-17,"['Fantasy', 'Comedy', 'Romance', 'Crime', 'Action', 'Mystery', 'Thriller']"
374,Tate Taylor,Male,1969-06-03,"['Horror', 'Crime', 'Drama', 'Mystery', 'Thriller']"
375,Jennifer Yuh Nelson,Female,1972-05-07,"['Comedy', 'Family', 'Adventure', 'Action', 'Animation']"
376,Bill Condon,Male,1955-10-22,"['Fantasy', 'Romance', 'Family', 'Music', 'Adventure', 'Drama']"
377,Rob Marshall,Male,1960-10-17,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Adventure', 'Action', 'Drama', 'Crime', 'History']"
378,Will Gluck,Male,1978-01-01,"['Comedy', 'Romance']"
379,Justin Lin,Male,1971-10-11,"['Crime', 'Action', 'Drama', 'Adventure', 'Thriller', 'Science Fiction']"
380,Steve McQueen,Male,1969-10-09,"['Crime', 'Drama', 'Thriller', 'History']"
381,Andrew Niccol,Male,1964-06-01,"['Romance', 'Crime', 'Drama', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
382,J.J. Abrams,Male,1966-06-27,"['Adventure', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
383,Carlos Saldanha,Male,1965-01-24,"['Adventure', 'Animation', 'Family', 'Comedy']"
384,Gareth Evans,Male,1980-04-02,"['Crime', 'Action', 'Thriller']"
385,Lone Scherfig,Female,1959-05-02,"['Drama', 'Romance']"
386,Neil Burger,Male,1963-11-22,"['Fantasy', 'Romance', 'Adventure', 'Drama', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
387,Jonathan Levine,Male,1976-06-18,"['Fantasy', 'Comedy', 'Romance', 'Horror', 'Adventure', 'Drama']"
388,Chris Miller,Male,1968-01-20,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Animation']"
389,Duncan Jones,Male,1971-05-30,"['Drama', 'Mystery', 'Thriller', 'Science Fiction']"
390,Seth Gordon,Male,1974-07-20,"['Comedy', 'Romance', 'Crime', 'Action', 'Drama']"
391,Asghar Farhadi,Male,1972-05-07,['Drama']
392,James Bobin,Male,1972-01-01,"['Fantasy', 'Comedy', 'Family', 'Music', 'Adventure', 'Crime']"
393,Goro Miyazaki,Male,1967-01-21,"['Adventure', 'Drama', 'Fantasy', 'Animation']"
394,Adam Wingard,Male,1982-10-03,"['Fantasy', 'Horror', 'Crime', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
395,Michel Hazanavicius,Male,1967-03-29,"['Drama', 'Comedy', 'Romance']"
396,Gavin O'Connor,Male,1963-12-24,"['Crime', 'Action', 'Thriller', 'Drama']"
397,Zack Snyder,Male,1966-03-01,"['Fantasy', 'Family', 'Horror', 'War', 'Crime', 'Action', 'Drama', 'Adventure', 'Thriller', 'Animation', 'Mystery', 'Science Fiction']"
398,David Bowers,Male,1970-01-01,"['Adventure', 'Animation', 'Comedy', 'Family']"
399,Greg Mottola,Male,1964-07-11,"['Adventure', 'Drama', 'Comedy', 'Science Fiction']"
400,Shawn Levy,Male,1968-07-23,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Adventure', 'Action', 'Drama', 'Mystery', 'Crime', 'Science Fiction']"
401,Tomas Alfredson,Male,1965-04-01,"['Horror', 'Drama', 'Mystery', 'Thriller']"
402,Joachim Trier,Male,1974-09-30,"['Comedy', 'Romance', 'Drama', 'Mystery', 'Thriller']"
403,Ari Aster,Male,1986-07-15,"['Fantasy', 'Comedy', 'Horror', 'Adventure', 'Drama', 'Mystery', 'Thriller']"
404,Joe Cornish,Male,1968-12-20,"['Action', 'Comedy', 'Science Fiction']"
405,Patricia Riggen,Female,1970-06-02,"['Drama', 'Comedy', 'TV Movie']"
406,Jeff Nichols,Male,1978-12-07,"['Drama', 'Thriller']"
407,Thomas Bezucha,Male,1964-03-08,"['Adventure', 'Drama', 'Comedy', 'Romance']"
408,Steven Quale,Male,1965-11-30,"['Horror', 'Mystery']"
409,Joe Wright,Male,1972-08-25,"['Romance', 'Adventure', 'Action', 'Drama', 'Mystery', 'Thriller', 'Crime', 'History', 'TV Movie', 'Science Fiction']"
410,Jake Kasdan,Male,1974-10-28,"['Fantasy', 'Comedy', 'Music', 'Adventure', 'Drama']"
411,Cary Joji Fukunaga,Male,1977-07-10,"['Romance', 'War', 'Adventure', 'Drama', 'Action', 'Thriller']"
412,Euros Lyn,Male,,"['Drama', 'Thriller', 'Science Fiction', 'TV Movie']"
413,Kelly Asbury,Male,1960-01-15,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Drama', 'Animation', 'Western']"
414,Otto Bathurst,Male,1971-01-18,"['Drama', 'Thriller', 'Science Fiction', 'TV Movie']"
415,George Clooney,Male,1961-05-06,"['Comedy', 'Crime', 'Drama', 'History', 'Science Fiction']"
416,Mark Mylod,Male,1965-01-01,"['Horror', 'Thriller', 'Comedy', 'Romance']"
417,Brian Welsh,Male,1981-08-10,"['Drama', 'Thriller', 'Science Fiction', 'TV Movie']"
418,Jon Favreau,Male,1966-10-19,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Action', 'Drama', 'Thriller', 'Animation', 'Western', 'Science Fiction']"
419,Joe Carnahan,Male,1969-05-09,"['Comedy', 'Adventure', 'Drama', 'Action', 'Crime', 'Thriller']"
420,Matthijs van Heijningen Jr.,Male,1965-07-26,"['Horror', 'Mystery', 'Science Fiction']"
421,Sarah Smith,Female,,"['Drama', 'Animation', 'Family', 'Comedy']"
422,Craig Gillespie,Male,1967-09-01,"['Comedy', 'Romance', 'Horror', 'Crime', 'Drama', 'History']"
423,Mark Waters,Male,1964-06-30,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Adventure', 'Drama']"
424,Ben Wheatley,Male,1972-05-07,"['Horror', 'Crime', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
425,Dee Rees,Female,1977-02-07,['Drama']
426,George Nolfi,Male,1968-06-10,"['Thriller', 'Romance', 'Science Fiction']"
427,Brad Furman,Male,,"['Crime', 'Drama', 'Thriller']"
428,Nuri Bilge Ceylan,Male,1959-01-26,"['Crime', 'Drama']"
429,J.C. Chandor,Male,1973-11-24,"['Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
430,Michel Gondry,Male,1963-05-08,"['Fantasy', 'Comedy', 'Romance', 'Crime', 'Action', 'Drama', 'Science Fiction']"
431,Richard Linklater,Male,1960-07-30,"['Fantasy', 'Comedy', 'Romance', 'Music', 'Crime', 'Drama', 'Animation', 'Thriller', 'Science Fiction']"
432,Henry Joost,Male,1981-07-25,"['Horror', 'Crime', 'Adventure', 'Mystery']"
433,Ariel Schulman,Male,1981-10-01,"['Horror', 'Crime', 'Adventure', 'Mystery']"
434,Sean Durkin,Male,1981-12-09,"['Drama', 'Thriller', 'History']"
435,Mike Newell,Male,1942-03-28,"['Fantasy', 'Comedy', 'Romance', 'Adventure', 'Action', 'Drama', 'Crime', 'Thriller', 'History']"
436,Ang Lee,Male,1954-10-23,"['Comedy', 'Romance', 'Adventure', 'Drama', 'Action', 'Science Fiction']"
437,Mike Johnson,Male,,"['Fantasy', 'Animation', 'Romance']"
438,James McTeigue,Male,1967-12-29,"['Action', 'Thriller', 'Science Fiction']"
439,Tom McGrath,Male,1964-08-07,"['Comedy', 'Family', 'Adventure', 'Action', 'Animation', 'Science Fiction']"
440,Andrew Adamson,Male,1966-12-01,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Animation']"
441,Judd Apatow,Male,1967-12-06,"['Drama', 'Comedy', 'Romance']"
442,Darren Lynn Bousman,Male,1979-01-11,"['Horror', 'Crime', 'Mystery', 'Thriller']"
443,Neil Marshall,Male,1970-05-25,"['Horror', 'Action', 'Adventure', 'Thriller']"
444,Frank Miller,Male,1957-01-27,"['Crime', 'Action', 'Thriller']"
445,Chris Wedge,Male,1957-03-20,"['Comedy', 'Family', 'Adventure', 'Animation', 'Science Fiction']"
446,Francis Lawrence,Male,1971-03-26,"['Fantasy', 'Horror', 'Adventure', 'Action', 'Drama', 'Mystery', 'Thriller', 'Science Fiction']"
447,Mark Dindal,Male,1960-05-31,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Animation']"
448,Tim Story,Male,1970-03-13,"['Adventure', 'Action', 'Fantasy', 'Science Fiction']"
449,Park Chan-wook,Male,1963-08-23,"['Comedy', 'Romance', 'Horror', 'War', 'Drama', 'Action', 'Mystery', 'Thriller']"
450,Steve Box,Male,1967-01-23,"['Adventure', 'Animation', 'Comedy', 'Family']"
451,David Dobkin,Male,1969-06-23,"['Comedy', 'Romance', 'Music', 'Adventure', 'Action', 'Western']"
452,Shane Black,Male,1961-12-16,"['Comedy', 'Crime', 'Action', 'Adventure', 'Mystery', 'Science Fiction']"
453,Jaume Collet-Serra,Male,1974-03-23,"['Fantasy', 'Horror', 'Adventure', 'Drama', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
454,Rian Johnson,Male,1973-12-17,"['Comedy', 'Adventure', 'Drama', 'Action', 'Mystery', 'Thriller', 'Crime', 'Science Fiction']"
455,Noah Baumbach,Male,1969-09-03,"['Drama', 'Comedy', 'Romance']"
456,Eli Roth,Male,1972-04-18,"['Horror', 'Mystery', 'Thriller']"
457,David Slade,Male,1969-09-26,"['Fantasy', 'Romance', 'Horror', 'Adventure', 'Drama', 'Mystery', 'Thriller', 'TV Movie', 'Science Fiction']"
458,Garth Jennings,Male,1972-03-04,"['Comedy', 'Family', 'Music', 'Adventure', 'Animation', 'Science Fiction']"
459,Ol Parker,Male,1969-06-02,"['Drama', 'Comedy', 'Romance']"
460,Thomas Carter,Male,1953-07-17,"['Family', 'Romance', 'Music', 'Drama', 'History']"
461,Werner Herzog,Male,1942-09-05,"['Adventure', 'Drama', 'War', 'Documentary']"
462,Cory Edwards,Male,1968-08-21,"['Crime', 'Animation', 'Family', 'Comedy']"
463,Todd Edwards,Male,1971-09-17,"['Crime', 'Animation', 'Family', 'Comedy']"
464,Tony Leech,Male,,"['Crime', 'Animation', 'Family', 'Comedy']"
465,Ken Kwapis,Male,1957-08-17,"['Drama', 'Comedy', 'Romance']"
466,Peter Segal,Male,1962-04-20,"['Comedy', 'Romance', 'Crime', 'Drama', 'Action', 'Thriller']"
467,Marc Forster,Male,1969-11-30,"['Fantasy', 'Comedy', 'Romance', 'Family', 'Horror', 'Adventure', 'Drama', 'Action', 'Mystery', 'Thriller', 'Crime', 'Science Fiction']"
468,Kirk Jones,Male,1963-11-30,"['Fantasy', 'Comedy', 'Family']"
469,Jason Reitman,Male,1977-10-19,"['Fantasy', 'Comedy', 'Romance', 'Adventure', 'Drama']"
470,Adam Shankman,Male,1964-11-27,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Adventure', 'Action', 'Drama']"
471,Rob Zombie,Male,1965-01-12,"['Crime', 'Drama', 'Comedy', 'Horror']"
472,Koji Shiraishi,Male,1973-06-01,"['Horror', 'Mystery', 'Thriller']"
473,Scott Derrickson,Male,1966-07-16,"['Fantasy', 'Horror', 'Crime', 'Drama', 'Action', 'Mystery', 'Thriller', 'Adventure']"
474,Angela Robinson,Female,1971-02-14,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Adventure', 'Action']"
475,Neil Jordan,Male,1950-02-25,"['Fantasy', 'Comedy', 'Romance', 'Horror', 'Crime', 'Drama', 'Thriller']"
476,Joss Whedon,Male,1964-06-23,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
477,Miranda July,Female,1974-02-15,"['Crime', 'Drama', 'Comedy']"
478,Kim Jee-woon,Male,1964-07-06,"['Horror', 'Crime', 'Drama', 'Action', 'Mystery', 'Thriller']"
479,Rob McKittrick,Male,1973-08-31,['Comedy']
480,Robert Schwentke,Male,1968-02-15,"['Fantasy', 'Comedy', 'Romance', 'Adventure', 'Drama', 'Action', 'Mystery', 'Thriller', 'Crime', 'Science Fiction']"
481,Lexi Alexander,Female,1974-08-23,"['Crime', 'Drama']"
482,John Pasquin,Male,1944-11-30,"['Fantasy', 'Comedy', 'Family', 'Drama', 'Action']"
483,Catherine Hardwicke,Female,1955-10-21,"['Drama', 'Fantasy', 'Romance']"
484,Greg McLean,Male,1953-01-01,"['Horror', 'Thriller']"
485,Saul Blinkoff,Male,1972-11-07,"['Animation', 'Family', 'Comedy']"
486,Elliot M. Bour,Male,1969-03-20,"['Animation', 'Family', 'Comedy']"
487,Robin Steele,,,"['Animation', 'Family', 'Comedy']"
488,John Singleton,Male,1968-01-06,"['Romance', 'Crime', 'Action', 'Adventure', 'Drama', 'Thriller']"
489,Andrew Douglas,Male,1952-08-10,['Horror']
490,Clare Kilner,Female,,"['Comedy', 'Romance']"
491,Stuart Gillard,Male,1950-04-28,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Drama', 'Action', 'TV Movie', 'Science Fiction']"
492,Fernando Meirelles,Male,1955-11-09,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller', 'History']"
493,Andrzej Bartkowiak,Male,1950-03-06,"['Horror', 'Action', 'Science Fiction']"
494,Iain Softley,Male,1956-11-30,"['Horror', 'Crime', 'Drama', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
495,Nobuhiro Yamashita,Male,1976-08-29,"['Music', 'Drama', 'Comedy']"
496,Robert Luketic,Male,1973-11-01,"['Crime', 'Drama', 'Comedy', 'Romance']"
497,Louis Leterrier,Male,1973-06-17,"['Fantasy', 'Crime', 'Action', 'Adventure', 'Thriller', 'Science Fiction']"
498,Greg Richardson,Male,1973-01-19,"['Family', 'Animation', 'Romance']"
499,Tim Fywell,Male,1951-10-03,"['Drama', 'Comedy', 'Family']"
500,Conrad Vernon,Male,1968-07-11,"['Fantasy', 'Comedy', 'Family', 'Adventure', 'Animation', 'Science Fiction']"
501,Quentin Tarantino,Male,1963-03-27,"['Comedy', 'Horror', 'War', 'Crime', 'Action', 'Drama', 'Mystery', 'Thriller', 'Western']"
502,Nick Cassavetes,Male,1959-05-21,"['Comedy', 'Romance', 'Crime', 'Drama', 'Thriller']"
503,Edgar Wright,Male,1974-04-18,"['Comedy', 'Romance', 'Horror', 'Crime', 'Action', 'Mystery', 'Thriller', 'Science Fiction']"
504,Gary Winick,Male,1961-03-31,"['Fantasy', 'Comedy', 'Family', 'Romance', 'Drama']"
